loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-01 09:47:42.206 +0100,17737.717625875,0.3581390380859375,0.82379150390625,-0.4385833740234375,17737.712602875,-2.058822915747948,0.6829361407374661,-0.971947618843506,-0.02516896650195122,-0.04508372768759727,-0.02186392061412334,0.003691017627716064,-0.006645798683166504,0.0008428692817687988,XArbitraryZVertical,-0.02696079149148131,-0.5297533954111606,0.7946232735946754,-0.2953106615618062,0.3557310104370117,0.8259851336479187,-0.4372689127922058,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.226 +0100,17737.737721875,0.3542022705078125,0.8365631103515625,-0.43701171875,17737.732697875,-2.05922634081819,0.6816530082628517,-0.9726707126088601,-0.01913833245635033,-0.05199351906776428,-0.04435274749994278,0.003331869840621948,0.006359279155731201,0.000117957592010498,XArbitraryZVertical,-0.02635416037181249,-0.5297875724851644,0.7946186498390622,-0.2953167276482456,0.3547932803630829,0.8263925313949585,-0.437261164188385,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.247 +0100,17737.757817875,0.351715087890625,0.8350677490234375,-0.432037353515625,17737.752793875,-2.060087605131195,0.6799470384424721,-0.9736094866438502,-0.02312099561095238,-0.04587198793888092,-0.04467462748289108,-0.0002859234809875488,0.009157180786132812,0.001919448375701904,XArbitraryZVertical,-0.02564032977933753,-0.5298220917639284,0.7946619164558182,-0.2952009826040395,0.3535587787628174,0.826920747756958,-0.437262237071991,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.267 +0100,17737.777913875,0.35003662109375,0.8387908935546875,-0.4307098388671875,17737.772889875,-2.060686438592587,0.6786311752602642,-0.9744915383266007,-0.02382273972034454,-0.03427978232502937,-0.03736425191164017,0.0002595782279968262,0.008386790752410889,0.006928086280822754,XArbitraryZVertical,-0.02502802763460557,-0.5298999801739961,0.7946669526675449,-0.2951002852647928,0.3525251746177673,0.8274164199829102,-0.4371592104434967,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.287 +0100,17737.798008875,0.33917236328125,0.828582763671875,-0.4378662109375,17737.792984875,-2.061268225515502,0.6775965415679315,-0.9752568626730428,-0.009855750948190689,-0.01919824257493019,-0.03329547122120857,-0.006108134984970093,0.004737377166748047,0.0007259249687194824,XArbitraryZVertical,-0.02455600971097857,-0.529982954531578,0.7946784548332851,-0.2949597058738293,0.3516755104064941,0.8278459906578064,-0.4370301365852356,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.307 +0100,17737.818104875,0.3468475341796875,0.82952880859375,-0.4425506591796875,17737.813080875,-2.062278401647827,0.6764830793095082,-0.9755191981376107,0.01915748417377472,-0.01415060553699732,-0.03162793442606926,-0.008628606796264648,-0.001101255416870117,-0.002317488193511963,XArbitraryZVertical,-0.02430748009945982,-0.5298896748604709,0.7948110799304139,-0.2947906442582724,0.3510527610778809,0.8279931545257568,-0.4372521638870239,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.327 +0100,17737.838200875,0.352325439453125,0.819793701171875,-0.442108154296875,17737.833176875,-2.063944979735673,0.6748218426466815,-0.9756719717816192,0.01810079999268055,-0.01801229268312454,-0.04450694844126701,-0.001947999000549316,-0.00317084789276123,-0.005221247673034668,XArbitraryZVertical,-0.02404581288170946,-0.5296733400342256,0.795059173399896,-0.2945316406224215,0.3502468168735504,0.8280788064002991,-0.437735915184021,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.347 +0100,17737.858295875,0.359283447265625,0.8238677978515625,-0.4366607666015625,17737.853271875,-2.065301363651389,0.6733234062876279,-0.9760731622597283,0.002744955942034721,-0.01839461922645569,-0.03637528419494629,0.006178677082061768,-0.00782090425491333,0.000933229923248291,XArbitraryZVertical,-0.02369676048043889,-0.5295641399041611,0.7952306228915627,-0.2942935149326213,0.3493833541870117,0.8283036351203918,-0.4380005598068237,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.367 +0100,17737.878391875,0.3578033447265625,0.8196563720703125,-0.4390716552734375,17737.873367875,-2.066092523511139,0.6722826355706363,-0.9765327590285682,-0.005346107296645641,-0.01975120417773724,-0.0314195416867733,0.01323482394218445,-0.003180265426635742,0.00110548734664917,XArbitraryZVertical,-0.02336371285142194,-0.5295480437667723,0.7953061931044165,-0.2941447415706201,0.3486901521682739,0.8285610675811768,-0.4380660057067871,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.387 +0100,17737.898487875,0.345306396484375,0.824188232421875,-0.45587158203125,17737.893463875,-2.066890042237514,0.6712389239279007,-0.9769936562307987,0.0002639945596456528,-0.01189585402607918,-0.02597151324152946,0.002028048038482666,-0.009190857410430908,-0.009099006652832031,XArbitraryZVertical,-0.02303080323273629,-0.5295321040707213,0.7953822380344973,-0.2939941187178534,0.3479952216148376,0.8288190364837646,-0.4381306767463684,604745260.3653774,0,-9.52,99.10169
